"Year"|"Event Name"|"Order Type"|"Order Type Code"|"Announcement Date"|"Announcement Time"|"Time Zone"|"State"|"County"|"County FIPS"|"Evacuation Area"|"Effective Date"|"Effective Time"
"2016"|"Hurricane Hermine"|"State of emergency"|"0"|"2016-09-01"|""|""|"NC"|"Beaufort, Bertie, Bladen, Brunswick, Camden, Carteret, Chowan, Columbus, Craven, Cumberland, Currituck, Dare, Duplin, Gates, Greene, Hertford, Hoke, Hyde, Jones, Lenoir, Martin, New Hanover, Onslow, Pamlico, Pasquotank, Pender, Perquimans, Pitt, Robeson, Sampson, Tyrrell, Washington, and Wayne"|""|""|""|""
"2016"|"Hurricane Hermine"|"State of emergency"|"0"|"2016-09-02"|""|""|"VA"|"Entire State"|""|""|""|""
"2016"|"Hurricane Hermine"|"State of emergency"|"0"|"2016-09-02"|""|""|"MD"|"Caroline, Cecil, Dorchester, Kent, Queen Anne's, Somerset, Talbot, Wicomico, Worcester, Calvert, Charles, and St. Mary's Counties"|""|""|""|""
"2016"|"Hurricane Hermine"|"State of emergency"|"0"|"2016-09-03"|""|""|"NJ"|"Ocean, Atlantic & Cape May Counties"|""|""|""|""
"2016"|"Hurricane Hermine"|"Mandatory evacuation order"|"1"|"2016-09-01"|"09:30:00"|"EDT"|"FL"|"Wakulla County"|"12129"|"Low lying coastal homes south of US 98 and 319."|"2016-09-01"|"09:30:00"
"2016"|"Hurricane Hermine"|"Voluntary evacuation order"|"2"|"2016-08-31"|"16:00:00"|"EDT"|"FL"|"Levy County"|"12075"|"Citizens along the coast"|"2016-08-31"|"16:00:00"
"2016"|"Hurricane Hermine"|"Mandatory evacuation order"|"1"|"2016-09-01"|"12:00:00"|"EDT"|"FL"|"Levy County"|"12075"|"Residents in Cedar Key and Yankeetown"|""|""
"2016"|"Hurricane Hermine"|"Mandatory evacuation order"|"1"|"2016-09-01"|"09:00:00"|"EDT"|"FL"|"Franklin County"|"12037"|"All barrier islands including St. George Island, Dog Island, Alligator Point, Ball Point and Low Lying Areas subject to tidal and coastal and river flooding.   This includes Rio Vista and Hickory Hammock."|""|""
"2016"|"Hurricane Hermine"|"Mandatory evacuation order"|"1"|"2016-08-31"|"18:30:00"|"EDT"|"FL"|"Taylor County"|"12123"|"Communities seaward of Keaton Beach Road including Dekle Beach, Keaton Beach, Cedar Island, Dark Island, Steinhatchee, Nutall Rise, Econfina, Spring Warrior"|""|""
"2016"|"Hurricane Hermine"|"Voluntary evacuation order"|"2"|"2016-08-30"|"14:20:00"|"EDT"|"FL"|"Pasco County"|"12101"|"Those in low-lying, flood-prone areas and by those with special needs."|""|""
"2016"|"Hurricane Hermine"|"Mandatory evacuation order"|"1"|"2016-09-03"|"16:00:00"|"EDT"|"FL"|"Pasco County"|"12101"|"Residents in the following areas, where utilities have been shut off due to rising water: Worthington Court Apartment complex, Rowan Road and State Road 54 in New Port Richey; Blue Heron Mobile Home Park, 6615 Massachusetts Ave., New Port Richey; Elfers Parkway Area along the Anclote River – east of Moog Rd; west of Seven Springs Blvd; south of State Rd 54; north of Old Oak Street."|""|""
"2016"|"Hurricane Hermine"|"Voluntary evacuation order"|"2"|"2016-09-03"|"16:00:00"|"EDT"|"FL"|"Pasco County"|"12101"|"Bass Lake Area, New Port Richey; Lake Worrell, New Port Richey; Magnolia Valley Area, New Port Richey; Suncoast Gateway Mobile Home Park, 6010 Ridge Road, Port Richey"|""|""
"2016"|"Hurricane Hermine"|"Mandatory evacuation order"|"1"|"2016-09-01"|"18:00:00"|"EDT"|"NC"|"Hyde County"|"37095"|"Visitors of Ocracoke Island"|"2016-09-01"|"18:00:00"
"2016"|"Hurricane Matthew"|"State of emergency"|"0"|"2016-10-03"|""|""|"FL"|"All counties"|""|""|""|""
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-04"|"20:40:00"|"EDT"|"FL"|"Brevard County"|"12009"|"Barrier islands, including Merritt Island, low-lying flood-prone area and in mobile and manufactured homes"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"11:30:00"|"EDT"|"FL"|"Palm Beach County"|"12099"|"Zone A (Barrier island areas) and Zone B (those in mobile homes)"|"2016-10-05"|"11:30:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"18:00:00"|"EDT"|"FL"|"Palm Beach County"|"12099"|"Zone A and Zone B"|"2016-10-05"|"18:00:00"
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"12:20:00"|"EDT"|"FL"|"Broward County"|"12011"|"Mobile homes and low-lying areas"|"2016-10-05"|"12:20:00"
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"23:00:00"|"EDT"|"FL"|"Broward County"|"12011"|"Hollywood -  Areas east of US 1 and mobile home parks is in place."|"2016-10-05"|"23:00:00"
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"16:30:00"|"EDT"|"FL"|"Miami-Dade County"|"12086"|"Mobile homes and trailer homes"|"2016-10-05"|"16:30:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"12:00:00"|"EDT"|"FL"|"St. Johns County"|"12109"|"Coastal and waterfront, those living in boats, RVs, mobile homes"|"2016-10-06"|"06:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"15:30:00"|"EDT"|"FL"|"St. Johns County"|"12109"|"Evacuation Zone A and portions of B – Including residents east of the Intracoastal Waterway, including Ponte Vedra Beach, South Ponte Vedra Beach, Vilano Beach, St. Augustine Beach, Butler Beach, Crescent Beach and Summer Haven. In addition, this includes residents generally located along the St. Johns River and west of State Road 13, including the Town of Hastings.; Portions of Evacuation Zone B – Including residents who live south of the Northeast Florida Regional Airport east of US 1 to the county line.; Residents living in boats, RVs, and mobile homes"|"2016-10-06"|"06:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"22:00:00"|"EDT"|"FL"|"St. Johns County"|"12109"|"All in Zone A and B, inlcuding entire city of St. Augustine and the Town of Hastings, Zone F"|"2016-10-06"|"06:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"11:00:00"|"EDT"|"FL"|"Duval County"|"12031"|"For all Duval County's Beaches Atlantic Beach - Neptune Beach, and Jacksonville Beach, Applies to Zones A and B"|"2016-10-05"|"11:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"08:00:00"|"EDT"|"FL"|"Duval County"|"12031"|"Zone A, B and C"|"2016-10-06"|"08:00:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-08"|"12:00:00"|"EDT"|"FL"|"Duval County"|"12031"|"All affected area"|"2016-10-08"|"12:00:00"
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"09:00:00"|"EDT"|"FL"|"St. Lucie County"|"12111"|"Whole county"|"2016-10-05"|"09:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"16:00:00"|"EDT"|"FL"|"St. Lucie County"|"12111"|"Barrier islands of North Hutchinson Island and South Hutchinson Island, mobile and manufactured homes and homes in low-lying areas"|"2016-10-06"|"08:00:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-07"|"10:00:00"|"EDT"|"FL"|"St. Lucie County"|"12111"|"Whole county"|""|""
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"13:50:00"|"EDT"|"FL"|"Flagler County"|"12035"|"Coastal areas and manufactured homes;"|""|""
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"19:45:00"|"EDT"|"FL"|"Flagler County"|"12035"|"Zone A and B. Evacuation Zone A includes everything east of the Intracoastal including Marineland, Hammock, Flagler Beach along A1A. Evacuation Zone B includes the neighborhoods along Colbert Lane to the south, all of the C section and the F section east of Florida Park Drive and the F section east of Palm Harbor Parkway. This zone also includes the area east of Old Kings Road, south of State Road 100 including Bulow and its adjacent neighborhood, Grand Haven and western Flagler Beach. This also still includes Evacuation Zone C which is the Woodlands."|"2016-10-06"|"06:00:00"
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"09:00:00"|"EDT"|"FL"|"Indian River County"|"12061"|"Barrier islands and mobile home parks"|"2016-10-05"|"09:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"13:00:00"|"EDT"|"FL"|"Indian River County"|"12061"|"Barrier islands, mobile and manufactured homes and low-lying areas"|"2016-10-06"|"08:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"11:00:00"|"EDT"|"FL"|"Martin County"|"12085"|"Residences on the barrier islands (Hutchinson Island and Jupiter Island), Sewall's Point, and manufactured/mobile homes, as well as homes in low-lying areas."|"2016-10-05"|"11:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"09:00:00"|"EDT"|"FL"|"Martin County"|"12085"|"Barrier islands (Hutchinson Island and Jupiter Island), Sewall's Point, and mobile homes, as well as homes in low-lying areas"|"2016-10-06"|"09:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"14:45:00"|"EDT"|"FL"|"Nassau County"|"12089"|"Amelia Island, Zones A, C and F, beaches and coastal areas"|"2016-10-05"|"14:45:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"15:25:00"|"EDT"|"FL"|"Volusia County"|"12127"|"Beachside, low-lying areas, RV and mobile home parks"|"2016-10-05"|"15:25:00"
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-06"|"13:00:00"|"EDT"|"FL"|"Lake County"|"12069"|"Astor area: due to flooding predicted in Astor along the St. Johns River."|"2016-10-06"|"13:00:00"
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"16:30:00"|"EDT"|"FL"|"Clay County"|"12019"|"Zones A and B"|"2016-10-05"|"16:30:00"
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-06"|"12:00:00"|"EDT"|"FL"|"DeSoto County"|"12027"|"Manufactured homes, RVs and low lying areas"|"2016-10-06"|"12:00:00"
"2016"|"Hurricane Matthew"|"State of emergency"|"0"|"2016-10-04"|""|""|"GA"|"Brantley, Bryan, Bulloch, Camden, Charlton, Chatham, Effingham, Evans, Glynn, Liberty, Long, McIntosh and Wayne counties"|""|""|""|""
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"10:20:00"|"EDT"|"GA"|"Glynn County"|"13127"|"Islands (St. Simons, Jekyll Island, Sea Island, and Little St. Simons Island), low lying areas, and mobile homes"|"2016-10-05"|"10:20:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"07:00:00"|"EDT"|"GA"|"Glynn County"|"13127"|"Zone A, east of I-95, plus Blythe Island and Oak Grove Island"|"2016-10-06"|"07:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"13:00:00"|"EDT"|"GA"|"Glynn County"|"13127"|"All of Glynn County"|"2016-10-06"|"13:00:00"
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"15:50:00"|"EDT"|"GA"|"Bryan County"|"13029"|"South Bryan"|"2016-10-05"|"15:50:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"10:20:00"|"EDT"|"GA"|"Bryan County"|"13029"|"East of I-95"|""|""
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"19:20:00"|"EDT"|"GA"|"Bryan County"|"13029"|"Both North and South Bryan"|""|""
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"14:15:00"|"EDT"|"GA"|"Chatham County"|"13051"|"All citizens of Tybee Island"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"15:10:00"|"EDT"|"GA"|"Chatham County"|"13051"|"All 3 islands & low lying areas E of the Wilmington River"|"2016-10-06"|"08:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"08:30:00"|"EDT"|"GA"|"Chatham County"|"13051"|"Whole county, including  all areas east of the Wilmington River and low lying areas including Skidaway Island."|"2016-10-06"|"08:30:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"10:20:00"|"EDT"|"GA"|"Chatham County"|"13051"|"East of I-95"|""|""
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"08:30:00"|"EDT"|"GA"|"Liberty County"|"13179"|"All residents of Liberty County, including all cities and towns"|""|""
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"10:20:00"|"EDT"|"GA"|"Liberty County"|"13179"|"East of I-95"|""|""
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"10:20:00"|"EDT"|"GA"|"McIntosh County"|"13191"|"East of I-95"|""|""
"2016"|"Hurricane Matthew"|"Voluntary evacuation order"|"2"|"2016-10-05"|"14:20:00"|"EDT"|"GA"|"Camden County"|"13039"|"People living in low lying areas and in mobile homes."|"2016-10-05"|"14:20:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"10:10:00"|"EDT"|"GA"|"Camden County"|"13039"|"Whole county"|"2016-10-06"|"10:10:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"10:20:00"|"EDT"|"GA"|"Camden County"|"13039"|"East of I-95"|""|""
"2016"|"Hurricane Matthew"|"Mandatory evacuation order lifted"|"3"|"2016-10-09"|"14:00:00"|"EDT"|"GA"|"Mainland of Bryan, Camden, Chatham, Glynn, Liberty and McIntosh counties"|""|""|"2016-10-09"|"17:00:00"
"2016"|"Hurricane Matthew"|"State of emergency"|"0"|"2016-10-04"|"09:00:00"|"EDT"|"SC"|"All counties"|""|""|""|""
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-04"|"16:00:00"|"EDT"|"SC"|"Beaufort County"|"45013"|"Zone A, Entire county;"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-04"|"16:00:00"|"EDT"|"SC"|"Jasper County"|"45053"|"Zone A and B;"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-04"|"16:00:00"|"EDT"|"SC"|"Colleton County"|"45029"|"Zone  A Only;"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-04"|"16:00:00"|"EDT"|"SC"|"Charleston County"|"45019"|"Zone A, B and  C;"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-04"|"16:00:00"|"EDT"|"SC"|"Dorchester County"|"45035"|"Zone B, D, E, and F;"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-04"|"16:00:00"|"EDT"|"SC"|"Berkeley County"|"45015"|"Zone A, B, C, G, and I;"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-04"|"16:00:00"|"EDT"|"SC"|"Horry County"|"45051"|"Zone A only;"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-04"|"16:00:00"|"EDT"|"SC"|"Georgetown County"|"45043"|"Zone  A only"|"2016-10-05"|"15:00:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"10:20:00"|"EDT"|"SC"|"Georgetown County"|"45043"|"Residents and visitors in certain part should begin evacuating:  Zone A; Includes: Areas East of Highway 17 to the AtlanticOcean from the South Santee River and North to the Horry County line, including Sandy Island; areas East of Dawhoo Lake and South of Walker Road and Powell Road to the South Santee River; all low-lying areas along the Waccamaw River, Great Pee Dee River, Black River, and Sampit River South of Highway 521 (17A), including Maryville; and all mobile home residents in the County."|"2016-10-05"|"10:20:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-05"|"10:20:00"|"EDT"|"SC"|"Horry County"|"45051"|"Residents and visitors in certain part should begin evacuating:  Zone A; Includes: All areas east of U.S. Business 17 (KingsHighway), up to intersection with U.S. 17 (Kings Highway) and then all areas east of US 17 (Kings Highway) to the northern county line, and all coastal population."|"2016-10-05"|"10:20:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"16:45:00"|"EDT"|"SC"|"Colleton County"|"45029"|"Coastal areas in Zone B; Includes: All areas east of I-95 from the southern county line to Walterboro and all areas south of Alt. US17 from Walterboro to the northern county line plus all mobile homes and other floodplain areas in the County.;"|"2016-10-06"|"16:45:00"
"2016"|"Hurricane Matthew"|"Mandatory evacuation order"|"1"|"2016-10-06"|"16:45:00"|"EDT"|"SC"|"Jasper County"|"45053"|"Coastal areas in Zone B; Includes: All areas east of I-95 and all areas south of Sand Hills Road (Hwy 119) and Tillman Road (Hwy 336), plus all mobile homes and other floodplain areas in the county"|"2016-10-06"|"16:45:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-09"|"10:30:00"|"EDT"|"SC"|"Charleston County"|"45019"|"All residents"|"2016-10-09"|"10:00:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-09"|"10:30:00"|"EDT"|"SC"|"Dorchester County"|"45035"|"All residents"|"2016-10-09"|"10:00:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-09"|"10:30:00"|"EDT"|"SC"|"Berkeley County"|"45015"|"All residents"|"2016-10-09"|"10:00:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-09"|"10:30:00"|"EDT"|"SC"|"Colleton County"|"45029"|"All residents"|"2016-10-09"|"10:00:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-09"|"20:35:00"|"EDT"|"SC"|"Beaufort County"|"45013"|"All residents"|"2016-10-09"|"18:30:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-09"|"20:35:00"|"EDT"|"SC"|"Jasper County"|"45053"|"All residents"|"2016-10-09"|"18:30:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-10"|"08:00:00"|"EDT"|"SC"|"Horry County"|"45051"|"All residents"|"2016-10-10"|"08:00:00"
"2016"|"Hurricane Matthew"|"Evacuation order lifted"|"3"|"2016-10-10"|"08:00:00"|"EDT"|"SC"|"Georgetown County"|"45043"|"All residents"|"2016-10-10"|"08:00:00"
"2017"|"Hurricane Harvey"|"State of emergency"|"0"|"2017-08-23"|"16:00:00"|"CDT"|"TX"|"Aransas, Austin, Bee, Calhoun, Chambers, Colorado, Brazoria, DeWitt, Fayette, Fort Bend, Galveston, Goliad, Gonzales, Harris, Jackson, Jefferson, Jim Wells, Karnes, Kleberg, Lavaca, Liberty, Live Oak, Matagorda, Nueces, Refugio, San Patricio, Victoria, Wailer, Wharton, and Wilson"|""|""|"2017-08-23"|"16:00:00"
"2017"|"Hurricane Harvey"|"State of emergency"|"0"|"2017-08-26"|"11:30:00"|"CDT"|"TX"|"Atascosa, Bexar, Brazos, Caidwell, Cameron, Coma!, Grimes, Guadalupe, Hardin, Jasper, Kerr, Lee, Leon, Madison, Montgomery, Newton, Tyler, Walker, Washington and Willacy"|""|""|"2017-08-26"|"11:30:00"
"2017"|"Hurricane Harvey"|"State of emergency"|"0"|"2017-08-27"|"16:00:00"|"CDT"|"TX"|"Bastrop, Burleson, Polk, and San Jacinto"|""|""|"2017-08-27"|"16:00:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"11:50:00"|"CDT"|"TX"|"Nueces County"|"48355"|"Aransas Pass/Port Aransas"|"2017-08-24"|"11:50:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"11:50:00"|"CDT"|"TX"|"San Patricio County"|"48409"|"Aransas Pass/Port Aransas"|"2017-08-24"|"11:50:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"11:50:00"|"CDT"|"TX"|"Aransas County"|"48007"|"Aransas Pass and Rockport - for all residents and visitors"|"2017-08-24"|"11:50:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-23"|"11:20:00"|"CDT"|"TX"|"Calhoun County"|"48057"|"Low-lying areas"|"2017-08-23"|"11:20:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"13:00:00"|"CDT"|"TX"|"Calhoun County"|"48057"|"Entire County"|"2017-08-24"|"13:00:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"11:00:00"|"CDT"|"TX"|"San Patricio County"|"48409"|"Entire County"|"2017-08-24"|"12:00:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"13:30:00"|"CDT"|"TX"|"San Patricio County"|"48409"|"City of Ingleside"|""|""
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"13:30:00"|"CDT"|"TX"|"Nueces County"|"48355"|"City of Ingleside"|""|""
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"10:00:00"|"CDT"|"TX"|"Jackson County"|"48239"|"Entire County"|"2017-08-24"|"10:00:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"16:00:00"|"CDT"|"TX"|"Jackson County"|"48239"|"Entire County"|"2017-08-24"|"16:00:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"11:50:00"|"CDT"|"TX"|"Refugio County"|"48391"|"Mission River Oaks and the Guadalupe River at Tivoli"|""|""
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"12:50:00"|"CDT"|"TX"|"Refugio County"|"48391"|"Entire County"|"2017-08-24"|"12:50:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"11:00:00"|"CDT"|"TX"|"Nueces County"|"48355"|"City of Corpus Christi, Mustang Island"|"2017-08-24"|"12:00:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"14:00:00"|"CDT"|"TX"|"Brazoria County"|"48039"|"Gulf side of the Intracoastal canal, including Surfside, Sargent and Palacio"|"2017-08-25"|"08:00:00"
